"","cell","year","spring.gdd","summer.gdd","gdd.comb","spring.mean","spring.dev","summer.mean","summer.dev","FFD","FRD","FFD.dev","FRD.dev"
"40",369,2011,64.865720744404,431.358689987197,496.224410731601,67.0357740235399,-2.17005327913583,368.384041818909,62.974648168288,15.57,145.25,5.583,-2.72928571428571
"41",369,2012,45.5093970545769,439.180145602545,484.689542657122,67.0357740235399,-21.5263769689629,368.384041818909,70.7961037836366,18.43,140.86,8.443,-7.1192857142857
"42",369,2013,112.671212091941,422.999228652512,535.670440744454,67.0357740235399,45.6354380684014,368.384041818909,54.6151868336038,11.43,150.75,1.443,2.77071428571429
"43",369,2014,81.4094947879585,394.782203926025,476.191698713983,67.0357740235399,14.3737207644186,368.384041818909,26.3981621071159,12.89,149.89,2.903,1.91071428571428
"44",369,2015,66.5696937683354,337.626779632502,404.196473400838,67.0357740235399,-0.466080255204432,368.384041818909,-30.7572621864063,13.61,143.86,3.623,-4.1192857142857
"45",369,2016,76.4004353610767,344.19445513483,420.594890495907,67.0357740235399,9.36466133753686,368.384041818909,-24.1895866840787,11.25,NA,1.263,NA
"46",369,2017,64.2047958273407,421.780327441372,485.985123268713,67.0357740235399,-2.83097819619913,368.384041818909,53.3962856224633,9.82,NA,-0.167,NA
"47",369,2018,100.4422857152,356.392465471962,456.834751187162,67.0357740235399,33.4065116916604,368.384041818909,-11.9915763469471,11.29,150.85,1.303,2.87071428571429
"48",369,2019,61.1028485715827,322.864912077434,383.967760649017,67.0357740235399,-5.93292545195711,368.384041818909,-45.5191297414747,0.43,159.25,-9.557,11.2707142857143
"49",369,2020,NA,NA,NA,NA,NA,NA,NA,7.54,147.57,-2.447,-0.409285714285716
"50",370,2000,14.2534698515115,306.116332260817,320.369802112328,46.0050872711331,-31.7516174196216,297.450937663619,8.66539459719746,NA,NA,NA,NA
"51",370,2001,70.3525252686137,321.868856273102,392.221381541716,46.0050872711331,24.3474379974806,297.450937663619,24.4179186094824,4.88,NA,-6.5215,NA
"52",370,2002,24.5712589039304,252.48124926912,277.052508173051,46.0050872711331,-21.4338283672027,297.450937663619,-44.9696883944991,13.62,NA,2.2185,NA
"53",370,2003,83.3612948945183,384.583190111467,467.944485005986,46.0050872711331,37.3562076233852,297.450937663619,87.1322524478479,3.79,156.75,-7.6115,7.55428571428573
"54",370,2004,14.2924348936252,214.804648659825,229.09708355345,46.0050872711331,-31.7126523775079,297.450937663619,-82.6462890037942,7.25,154.25,-4.1515,5.05428571428573
"55",370,2005,44.7690203906722,315.211113451067,359.980133841739,46.0050872711331,-1.23606688046089,297.450937663619,17.7601757874477,10.54,155.29,-0.861500000000001,6.09428571428572
"56",370,2006,84.6528433657377,313.307982191747,397.960825557485,46.0050872711331,38.6477560946046,297.450937663619,15.8570445281276,11.5,144.71,0.0984999999999996,-4.48571428571427
"57",370,2007,33.7246097508829,306.820691634887,340.54530138577,46.0050872711331,-12.2804775202502,297.450937663619,9.36975397126741,11.64,NA,0.2385,NA
"58",370,2008,39.4005374844849,335.204891218885,374.60542870337,46.0050872711331,-6.60454978664821,297.450937663619,37.7539535552656,12.55,NA,1.1485,NA
"59",370,2009,5.258680242048,194.385369373531,199.644049615579,46.0050872711331,-40.7464070290851,297.450937663619,-103.065568290089,16.5,145.82,5.0985,-3.37571428571428
"60",370,2010,53.8720607100738,263.96890307289,317.840963782964,46.0050872711331,7.86697343894075,297.450937663619,-33.4820345907291,8.77,139.77,-2.6315,-9.42571428571426
"61",370,2011,33.4662363334336,356.582189955363,390.048426288797,46.0050872711331,-12.5388509376995,297.450937663619,59.1312522917437,16.95,142.14,5.5485,-7.05571428571429
"62",370,2012,19.6865466789996,342.755050030398,362.441596709397,46.0050872711331,-26.3185405921335,297.450937663619,45.3041123667783,19.18,141.91,7.7785,-7.28571428571428
"63",370,2013,85.7675382292477,320.773910794441,406.541449023689,46.0050872711331,39.7624509581146,297.450937663619,23.3229731308218,15.09,148.55,3.6885,-0.645714285714263
"64",370,2014,76.7263471822743,325.170260560108,401.896607742382,46.0050872711331,30.7212599111412,297.450937663619,27.7193228964886,13.73,151.77,2.3285,2.57428571428574
"65",370,2015,46.097693337979,219.763528189937,265.861221527916,46.0050872711331,0.0926060668459172,297.450937663619,-77.687409473682,14.95,145.55,3.5485,-3.64571428571426
"66",370,2016,53.2306378575666,240.343288857117,293.573926714683,46.0050872711331,7.22555058643346,297.450937663619,-57.1076488065025,12.27,NA,0.868499999999999,NA
"67",370,2017,37.6937288733381,363.180494475148,400.874223348486,46.0050872711331,-8.31135839779495,297.450937663619,65.7295568115282,13,NA,1.5985,NA
"68",370,2018,62.4262399001867,313.183855207137,375.610095107324,46.0050872711331,16.4211526290536,297.450937663619,15.732917543518,11.55,153.1,0.1485,3.90428571428572
"69",370,2019,36.4980412735378,258.5129476854,295.010988958938,46.0050872711331,-9.50704599759532,297.450937663619,-38.937989978219,1.09,162.9,-10.3115,13.7042857142857
"70",370,2020,NA,NA,NA,NA,NA,NA,NA,9.18,146.23,-2.2215,-2.96571428571428
"71",374,2000,3.56321347693182,131.851440629684,135.414654106616,10.2980023112008,-6.73478883426897,110.591223521676,21.2602171080077,NA,NA,NA,NA
"72",374,2001,8.58457720572557,117.569395218199,126.153972423925,10.2980023112008,-1.71342510547522,110.591223521676,6.97817169652264,4.8,NA,-7.23,NA
"73",374,2002,4.05577195170705,83.2308864961566,87.2866584478636,10.2980023112008,-6.24223035949374,110.591223521676,-27.3603370255197,10.7,NA,-1.33,NA
"74",374,2003,5.37874287110134,137.32788975463,142.706632625731,10.2980023112008,-4.91925944009944,110.591223521676,26.7366662329534,12.6,148,0.57,2.51428571428571
"75",374,2004,0.0463965655855238,59.7430859104746,59.7894824760601,10.2980023112008,-10.2516057456153,110.591223521676,-50.8481376112017,14.9,146.1,2.87,0.6142857142857
"76",374,2005,17.5121923350903,77.0838177290966,94.5960100641869,10.2980023112008,7.21419002388953,110.591223521676,-33.5074057925797,11.7,145.5,-0.33,0.0142857142857054
"77",374,2006,7.78210336608017,98.2338317216367,106.015935087717,10.2980023112008,-2.51589894512062,110.591223521676,-12.3573918000396,19.9,143.3,7.87,-2.18571428571428
"78",374,2007,9.85105359759236,70.8885307942117,80.7395843918041,10.2980023112008,-0.446948713608428,110.591223521676,-39.7026927274646,17.1,NA,5.07,NA
"79",374,2008,34.1396256082389,200.952933777989,235.092559386228,10.2980023112008,23.8416232970381,110.591223521676,90.361710256313,8,NA,-4.03,NA
"80",374,2009,3.43955470454505,128.165259540338,131.604814244883,10.2980023112008,-6.85844760665574,110.591223521676,17.5740360186614,12.4,146.8,0.370000000000001,1.31428571428572
"81",374,2010,3.14741797772111,139.143137332428,142.290555310149,10.2980023112008,-7.15058433347968,110.591223521676,28.5519138107514,7,147.9,-5.03,2.41428571428571
"82",374,2011,2.5245751448765,116.829904314281,119.354479459158,10.2980023112008,-7.77342716632429,110.591223521676,6.23868079260497,20.8,118.7,8.77,-26.7857142857143
"83",374,2012,36.9833229475516,133.52131983772,170.504642785271,10.2980023112008,26.6853206363508,110.591223521676,22.9300963160436,13.4,144.8,1.37,-0.685714285714283
"84",374,2013,6.3867824703459,75.856372396733,82.2431548670789,10.2980023112008,-3.91121984085489,110.591223521676,-34.7348511249433,11.3,149.2,-0.729999999999999,3.71428571428569
"85",374,2014,19.8169386235912,126.874285817872,146.691224441463,10.2980023112008,9.51893631239044,110.591223521676,16.2830622961955,21.5,146.4,9.47,0.914285714285711
"86",374,2015,5.34702256352704,115.164474934405,120.511497497932,10.2980023112008,-4.95097974767375,110.591223521676,4.57325141272879,11.9,147.5,-0.129999999999999,2.01428571428571
"87",374,2016,7.87906286263405,113.629866591657,121.508929454291,10.2980023112008,-2.41893944856674,110.591223521676,3.03864306998065,10.4,NA,-1.63,NA
"88",374,2017,19.7415614211533,71.4675452764839,91.2091066976372,10.2980023112008,9.44355910995253,110.591223521676,-39.1236782451924,8.2,NA,-3.83,NA
"89",374,2018,1.8992245635742,67.4061558411028,69.305380404677,10.2980023112008,-8.39877774762659,110.591223521676,-43.1850676805735,5.2,145.4,-6.83,-0.085714285714289
"90",374,2019,7.88090596644275,146.884336518428,154.765242484871,10.2980023112008,-2.41709634475803,110.591223521676,36.2931129967516,0.5,161.9,-11.53,16.4142857142857
"91",374,2020,NA,NA,NA,NA,NA,NA,NA,18.3,145.3,6.27,-0.185714285714283
"92",375,2000,7.22085802139055,176.42092964183,183.64178766322,12.4418053075971,-5.22094728620656,110.850378090742,65.5705515510881,NA,NA,NA,NA
"93",375,2001,18.2931564560415,114.712354873757,133.005511329798,12.4418053075971,5.85135114844442,110.850378090742,3.86197678301478,10.43,NA,-2.6865,NA
"94",375,2002,6.39007393000171,91.7249961118359,98.1150700418376,12.4418053075971,-6.05173137759539,110.850378090742,-19.1253819789059,14.57,NA,1.4535,NA
"95",375,2003,18.6999844708147,165.17471330794,183.874697778754,12.4418053075971,6.25817916321759,110.850378090742,54.3243352171979,12.57,147,-0.5465,4.81928571428571
"96",375,2004,0.541012193435986,85.865398108262,86.4064103016979,12.4418053075971,-11.9007931141611,110.850378090742,-24.9849799824799,17.86,142.14,4.7435,-0.0407142857143015
"97",375,2005,25.7918051456246,98.1890896905124,123.980894836137,12.4418053075971,13.3499998380275,110.850378090742,-12.6612884002294,13.29,141.43,0.173499999999999,-0.750714285714281
"98",375,2006,9.79474806430929,90.4848211016648,100.279569165974,12.4418053075971,-2.64705724328781,110.850378090742,-20.365556989077,18.29,137.62,5.1735,-4.56071428571428
"99",375,2007,14.4839683447467,88.0395500765638,102.523518421311,12.4418053075971,2.04216303714957,110.850378090742,-22.810828014178,18.33,NA,5.2135,NA
"100",375,2008,26.758386222183,142.874209977613,169.632596199796,12.4418053075971,14.3165809145859,110.850378090742,32.0238318868708,8,NA,-5.1165,NA
"101",375,2009,3.31747136806515,86.0882365510169,89.405707919082,12.4418053075971,-9.12433393953195,110.850378090742,-24.762141539725,11.33,147.67,-1.7865,5.4892857142857
"102",375,2010,5.81326612265337,136.322732520466,142.135998643119,12.4418053075971,-6.62853918494373,110.850378090742,25.4723544297239,9,141.33,-4.1165,-0.850714285714275
"103",375,2011,1.47384569315792,114.742786193175,116.216631886333,12.4418053075971,-10.9679596144392,110.850378090742,3.89240810243324,26.33,113,13.2135,-29.1807142857143
"104",375,2012,47.5439936049621,149.897140046812,197.441133651774,12.4418053075971,35.102188297365,110.850378090742,39.0467619560701,12.33,142.67,-0.7865,0.4892857142857
"105",375,2013,6.06555185710858,82.3036336023412,88.3691854594498,12.4418053075971,-6.37625345048852,110.850378090742,-28.5467444884006,17,142,3.8835,-0.180714285714288
"106",375,2014,20.0475236943409,143.018963088966,163.066486783307,12.4418053075971,7.60571838674383,110.850378090742,32.1685849982241,20.67,144.33,7.5535,2.14928571428572
"107",375,2015,5.79984577340144,98.6853832069448,104.485228980346,12.4418053075971,-6.64195953419566,110.850378090742,-12.164994883797,9.67,147.67,-3.4465,5.4892857142857
"108",375,2016,4.43954737366179,96.8653421327864,101.304889506448,12.4418053075971,-8.00225793393532,110.850378090742,-13.9850359579554,9,NA,-4.1165,NA
"109",375,2017,12.1804165425886,79.7532499629223,91.9336665055109,12.4418053075971,-0.261388765008478,110.850378090742,-31.0971281278195,8.33,NA,-4.7865,NA
"110",375,2018,1.32214773052603,81.5870625236279,82.9092102541539,12.4418053075971,-11.1196575770711,110.850378090742,-29.2633155671139,6.33,145,-6.7865,2.81928571428571
"111",375,2019,12.858503542928,94.2569690958006,107.115472638729,12.4418053075971,0.416698235330944,110.850378090742,-16.5934089949412,2.33,156,-10.7865,13.8192857142857
"112",375,2020,NA,NA,NA,NA,NA,NA,NA,16.67,142.67,3.5535,0.4892857142857
"113",376,2000,1.93515778441902,101.214279356586,103.149437141005,4.40051596838088,-2.46535818396186,50.7382410313937,50.476038325192,NA,NA,NA,NA
"114",376,2001,6.85247001061143,50.7930671289317,57.6455371395431,4.40051596838088,2.45195404223056,50.7382410313937,0.0548260975379904,4.71,NA,0.8,NA
"115",376,2002,0.793016729063595,31.7198008900888,32.5128176191524,4.40051596838088,-3.60749923931728,50.7382410313937,-19.0184401413049,7.24,NA,3.33,NA
"116",376,2003,8.28623344696155,88.5288435387237,96.8150769856853,4.40051596838088,3.88571747858068,50.7382410313937,37.7906025073301,2.12,168.06,-1.79,5.52000000000001
"117",376,2004,0.045725408960225,40.5798318778758,40.625557286836,4.40051596838088,-4.35479055942065,50.7382410313937,-10.1584091535179,6.29,163.18,2.38,0.640000000000015
"118",376,2005,9.03692675808061,42.7556454959164,51.792572253997,4.40051596838088,4.63641078969973,50.7382410313937,-7.98259553547724,6.88,156.35,2.97,-6.19
"119",376,2006,11.5765516229406,43.7939008908538,55.3704525137944,4.40051596838088,7.17603565455968,50.7382410313937,-6.94434014053986,3.94,158.12,0.0299999999999998,-4.41999999999999
"120",376,2007,5.94908781966175,38.393704868968,44.3427926886297,4.40051596838088,1.54857185128087,50.7382410313937,-12.3445361624257,2.69,NA,-1.22,NA
"121",376,2008,6.40790481470137,59.7591471198361,66.1670519345374,4.40051596838088,2.00738884632049,50.7382410313937,9.0209060884424,1.62,NA,-2.29,NA
"122",376,2009,0.349235439534409,26.7821834827571,27.1314189222915,4.40051596838088,-4.05128052884647,50.7382410313937,-23.9560575486366,3.77,160.08,-0.14,-2.45999999999998
"123",376,2010,0.52815452471025,67.4794821717454,68.0076366964556,4.40051596838088,-3.87236144367063,50.7382410313937,16.7412411403517,1.46,172.31,-2.45,9.77000000000001
"124",376,2011,0.00852438303282623,40.0301250435028,40.0386494265356,4.40051596838088,-4.39199158534805,50.7382410313937,-10.7081159878909,3.77,156.16,-0.14,-6.38
"125",376,2012,27.914404996046,78.7883595990707,106.702764595117,4.40051596838088,23.5138890276652,50.7382410313937,28.0501185676771,3.54,163.77,-0.37,1.23000000000002
"126",376,2013,1.32481497823247,47.9571509833878,49.2819659616203,4.40051596838088,-3.07570099014841,50.7382410313937,-2.78109004800584,7.85,163,3.94,0.460000000000008
"127",376,2014,1.13556386392972,95.7859124793227,96.9214763432525,4.40051596838088,-3.26495210445115,50.7382410313937,45.0476714479291,7.85,158.85,3.94,-3.69
"128",376,2015,0.173724151349863,26.5389950923272,26.712719243677,4.40051596838088,-4.22679181703101,50.7382410313937,-24.1992459390665,1.62,162.92,-2.29,0.379999999999995
"129",376,2016,1.3312243184529,34.5912502175222,35.9224745359751,4.40051596838088,-3.06929164992798,50.7382410313937,-16.1469908138715,2,NA,-1.91,NA
"130",376,2017,0.625697422057246,30.7492606840011,31.3749581060583,4.40051596838088,-3.77481854632363,50.7382410313937,-19.9889803473926,2.08,NA,-1.83,NA
"131",376,2018,0.17195146482404,49.1322047914052,49.3041562562292,4.40051596838088,-4.22856450355684,50.7382410313937,-1.6060362399885,0.77,166.07,-3.14,3.53
"132",376,2019,3.56394943004765,19.3916749150515,22.9556243450991,4.40051596838088,-0.836566538333229,50.7382410313937,-31.3465661163422,1.77,166.31,-2.14,3.77000000000001
"133",376,2020,NA,NA,NA,NA,NA,NA,NA,6.23,160.38,2.32,-2.16
"134",396,2000,63.4038203090959,493.515630699634,556.91945100873,124.548087802384,-61.1442674932882,501.731750859303,-8.21612015966878,NA,NA,NA,NA
"135",396,2001,138.193269143682,535.784919784935,673.978188928617,124.548087802384,13.6451813412983,501.731750859303,34.0531689256323,14.8,NA,0.1905,NA
"136",396,2002,73.5958106595265,556.244770629684,629.840581289211,124.548087802384,-50.9522771428576,501.731750859303,54.5130197703818,14.53,NA,-0.0795000000000012,NA
"137",396,2003,186.162279583899,580.056521365045,766.218800948945,124.548087802384,61.6141917815152,501.731750859303,78.3247705057426,4.93,150.47,-9.6795,13.9842857142857
"138",396,2004,65.5118951299597,360.859361734651,426.371256864611,124.548087802384,-59.0361926724244,501.731750859303,-140.872389124651,16.53,139.2,1.9205,2.71428571428569
"139",396,2005,135.258720152565,440.831927392624,576.090647545189,124.548087802384,10.7106323501808,501.731750859303,-60.8998234666781,13.67,136.87,-0.939500000000001,0.38428571428571
"140",396,2006,180.331878974163,520.084436788925,700.416315763088,124.548087802384,55.7837911717786,501.731750859303,18.3526859296226,11.33,129.73,-3.2795,-6.7557142857143
"141",396,2007,130.12614516995,433.615121459248,563.741266629197,124.548087802384,5.57805736756552,501.731750859303,-68.1166294000549,13.13,NA,-1.4795,NA
"142",396,2008,107.854433700229,522.097395570005,629.951829270233,124.548087802384,-16.6936541021555,501.731750859303,20.365644710702,17.2,NA,2.5905,NA
"143",396,2009,68.339033461967,458.023639988457,526.362673450424,124.548087802384,-56.2090543404171,501.731750859303,-43.708110870846,19.2,138,4.5905,1.51428571428571
"144",396,2010,140.526453770383,470.223434079231,610.749887849614,124.548087802384,15.9783659679984,501.731750859303,-31.5083167800717,12.67,116.87,-1.9395,-19.6157142857143
