"","year","cell","cell_lat","cell_lng","gr_mn_open","gr_popen","forest.greenup","gr_pfor","gr_mn_lag","...10","colddays","warmdays","spring.gdd","summer.gdd","ST.PC1","ST.PC2"
"57",2001,487,49.9751478154167,-61.8189891890388,157.52,0.04,153.13,0.96,4.39000000000001,230,103,36,52.5493481413875,345.282798836872,-39.8743126164304,1.35257348599567
"58",2001,507,48.3185222794017,-93.0488899839306,147.99,0.01,147.88,0.99,0.110000000000014,231,109,27,251.357490598733,762.051257983247,-22.7769104865725,-5.24482864386226
"59",2001,508,49.0717115252331,-89.1336983912323,148.01,0,150.92,1,-2.91,232,115,24,135.8004993087,575.603356547028,-32.7031985822587,-1.39854054817602
"60",2001,509,49.7299451365089,-85.0805221420807,145.35,0,148.15,1,-2.80000000000001,233,120,22,197.833471781553,584.791015524019,-26.2365211669764,-2.32521796345834
"61",2001,512,49.7299451372616,-72.4194778549693,153.4,0.04,149.01,0.96,4.39000000000001,236,114,14,203.703626128429,497.057310929091,-26.7467061229236,-3.53503300751114
"62",2001,513,49.0717115262395,-68.3663016055686,147.85,0.03,149.29,0.97,-1.44,237,115,28,147.318529789691,524.883921641243,-30.3868145279359,-0.454924602498842
"63",2001,514,48.3185222805963,-64.4511100125928,155.36,0.01,152.61,0.99,2.75,238,95,47,136.449121088868,613.886781992234,-34.3545458240525,-3.12719330638228
"64",2001,534,45.8181578968882,-94.2918383779928,137.2,0.02,130.98,0.98,6.22,239,103,32,340.586798738765,959.549982247793,-0.559545301035504,6.33780617060076
"65",2001,535,46.6202372401658,-90.5920142702139,136.74,0.01,137.66,0.99,-0.919999999999987,240,96,33,235.316168014101,752.954720485412,-13.5128471851696,5.93110805473489
"66",2001,536,47.3238018444925,-86.765883794354,144.7,0.01,143.26,0.99,1.44,241,100,46,104.57673043199,586.975115668549,-26.9038897054681,8.12215057503334
"67",2001,537,47.9578000244937,-82.8176553580113,146.14,0.01,146.99,0.99,-0.850000000000023,242,114,25,223.730214842782,639.549266418748,-23.5332788977831,-2.7084602326517
"68",2001,538,48.5865921308426,-78.7499999980182,142.37,0.03,148.11,0.97,-5.74000000000001,243,120,20,257.792324809489,636.76555343015,-22.6234449625176,-5.85829416791721
"69",2001,539,47.9578000251635,-74.6823446390516,149.28,0.02,148.12,0.98,1.16,244,109,18,232.724889295326,551.391747771232,-24.1272670224681,-4.37447210796666
"70",2001,540,47.3238018454606,-70.7341162024827,145.1,0.05,146.44,0.95,-1.34,245,107,35,223.068824256188,609.08122131059,-23.0226925764555,-2.11904655397923
"71",2001,541,46.6202372413531,-66.9079857263678,154.47,0.03,147.2,0.97,7.27000000000001,246,94,40,235.415742997029,722.380442976411,-23.0469132991112,-3.61482583132349
"72",2001,562,44.1402918686353,-91.9199480740029,138.61,0.39,128.91,0.61,9.70000000000002,247,89,39,402.761896836114,1012.76416811581,5.21560168398146,4.70265918558379
"73",2001,563,44.8891978391312,-88.2953307659256,134.96,0.26,133.6,0.74,1.36000000000001,248,82,36,302.801385837013,880.167796446456,-5.43125881616894,5.96951968573419
"74",2001,564,45.5580435896312,-84.5586595325796,129.95,0.07,137.35,0.93,-7.40000000000001,249,85,44,240.373438073377,760.27423682311,-12.901473653226,5.93973452279121
"75",2001,565,46.1870092076203,-80.7130536184924,135.5,0.02,141.93,0.98,-6.43000000000001,250,100,40,235.864264942042,751.310816220011,-17.7501849177635,1.62844578732875
"76",2001,566,46.1870092081857,-76.7869463785758,141.66,0.05,141.81,0.95,-0.150000000000006,251,97,21,287.617318122873,737.913962456205,-14.5461098647874,-1.33562926564739
"77",2001,567,45.5580435905451,-72.9413404642818,150.72,0.21,139.56,0.79,11.16,252,91,36,297.465786157041,736.074016888092,-11.7092186050953,0.327479474660498
"78",2001,568,44.8891978402986,-69.2046692307013,141.52,0.01,141.35,0.99,0.170000000000016,253,85,44,276.992367979356,755.338216689377,-14.7192733529827,-0.242465777452002
"79",2001,589,41.5914814738607,-93.0964601408556,155.84,0.94,120.85,0.06,34.99,254,68,39,544.009868128675,1167.85353548239,21.6928701884072,4.34539068115806
"80",2001,590,42.4255736420171,-89.6927335499159,148.36,0.77,122.69,0.23,25.67,255,68,46,485.510441656364,1059.39516037967,16.3667643316905,5.99149653787477
"81",2001,591,43.1334602429176,-86.1445569064626,137.08,0.35,126.92,0.65,10.16,256,59,55,382.079222765118,941.379607541766,5.97307693016033,7.92518393940491
