"","Estimate","Pr(>|t|)","sig"
"codeRE",154.942,2.0958662820745e-28,1
"codeRL",101.568,7.38392549488291e-66,1
"codeRP",89.538,1.58288645625465e-58,1
"warmearly",-10.129,7.42495965286714e-08,1
"codeRE:year",-4.16,2.88224106731769e-06,1
"codeRL:year",-1.349,3.89610938716787e-07,1
"codeRP:year",-1.065,0.000154023105071005,1
"r2m",0.27,NA,NA
"r2c",0.406,NA,NA
