"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"codeRE",0.91878313669555,0.876667093109044,1981.31807068293,1.04804109098831,0.294747502151876
"codeRL",1.89144473773764,0.298946543298889,1453.77534108815,6.32703331125846,3.32020848660835e-10
"codeRP",1.79905819838164,0.322386054865923,1628.79744108653,5.58044670737961,2.80495053710578e-08
"logab.py",0.396238406938085,0.0184301721308579,1959.35088016471,21.4994414661303,3.1481140628621e-92
"abslag",-0.00165951221452799,0.00108420846505275,1941.59388113563,-1.53062097190622,0.126025997535523
"dur.dev",0.000548939440664081,0.00685372530665733,1960.00416778863,0.0800935864953431,0.936171000278471
"codeRE:warmearly",-0.909504666218771,0.103431659879138,1305.92554904983,-8.79329082876119,4.49554295281653e-18
"codeRL:warmearly",0.0629779746248069,0.0418885706962188,127.533275815462,1.50346439561118,0.135191648253209
"codeRP:warmearly",0.290366101280845,0.0441241261626998,150.553546385523,6.58066519459608,7.3028142900492e-10
"codeRE:warmlateopen",-0.24214470448501,0.12071986415676,501.538409932632,-2.00583976942332,0.0454099091452829
"codeRL:warmlateopen",0.094769114575562,0.0592901120561524,54.0889445898815,1.59839661773296,0.115780765574384
"codeRP:warmlateopen",0.0956501525931836,0.0591349797709176,54.9506602005208,1.61748854846525,0.111499602574182
"codeRE:on.dev",-0.135352385399051,0.0382896073888804,1903.96512006504,-3.53496404453491,0.000417572566337495
"codeRL:on.dev",-0.0229187930872693,0.0126068079531725,1915.52841097279,-1.81796955838467,0.0692249223445961
"codeRP:on.dev",0.0378755336301393,0.0126046901132332,1923.01884510609,3.0048762238411,0.00269122928280751
"codeRE:MonthF7",0.832980119639773,0.745888682529785,1999.93204110819,1.11676197688723,0.264230258512382
"codeRL:MonthF7",0.0437675257526564,0.287233224107624,1456.43672890386,0.152376264579535,0.878911282022924
"codeRP:MonthF7",-0.424340700176019,0.312258201271067,1603.58668953794,-1.35894172978872,0.174356151448107
"codeRE:MonthF8",-2.32905877646938,1.30787478112104,1985.08216954376,-1.78079645703775,0.0750985950476394
"codeRL:MonthF8",0.118482737202827,0.326765588911672,1428.50182681555,0.36259245533609,0.716962984847915
"codeRP:MonthF8",-0.173891619267538,0.353398094886125,1566.3640402936,-0.492055904612532,0.62274877543785
"codeRE:FR.dev",0.166829018071074,0.0370113210964676,1916.07251216992,4.50751319133529,6.95548711300944e-06
"codeRL:FR.dev",-0.0270221659169127,0.0151106619022459,1736.20738201222,-1.78828472847351,0.0739044009813694
"codeRP:FR.dev",-0.00612260344543997,0.0157096729773484,1734.07513339795,-0.38973462110052,0.696780653154443
"codeRE:year",-0.109537901698776,0.0396196640396267,1930.44094012153,-2.76473575316587,0.00575105768713032
"codeRL:year",-0.00246609203599419,0.00720362150904649,1975.31235202785,-0.342340589784904,0.732131013754211
"codeRP:year",-0.0116022312931544,0.00716000703938793,1946.14004516091,-1.62042177184036,0.105303711737608
"codeRE:MonthF6:ObsDay",0.0179885302869305,0.0277777050788409,1997.62676623687,0.647588785174081,0.517325367117728
"codeRL:MonthF6:ObsDay",0.000883460409585442,0.010946659604206,1519.52562264884,0.0807059360141236,0.935686443846628
"codeRP:MonthF6:ObsDay",-0.00696385324077489,0.0119431053028005,1682.00911979508,-0.583085643491894,0.559913813149247
"codeRE:MonthF7:ObsDay",-0.0864205789787819,0.0114963264590687,1985.59957649405,-7.51723424752006,8.41759662190191e-14
"codeRL:MonthF7:ObsDay",-0.00233063955486398,0.00407338172502713,1433.92332333352,-0.57216330611599,0.567301030884007
"codeRP:MonthF7:ObsDay",0.0183680762285334,0.00426419820056861,1530.9884607683,4.30750996191597,1.75606405762485e-05
"codeRE:MonthF8:ObsDay",-0.0145863903629596,0.0536517397232357,1974.32650999281,-0.27187171260809,0.785749088300573
"codeRL:MonthF8:ObsDay",0.00353990363391979,0.0109331891842359,1532.15580686028,0.323775942615521,0.746151860052408
"codeRP:MonthF8:ObsDay",0.00644945400728445,0.0113432123973898,1557.78760211594,0.568573855565688,0.569727324479215
