Estimate,Std. Error,df,t value,Pr(>|t|),StdError,parameter
17.541,4.0922906496659195,741.6415205859697,4.28634857956308,2.056012546079026e-5,4.0923,codeEO
1.6222,1.834005890202681,238.0759472154563,0.8844899155896626,0.3773241794004819,1.834,codeLO
-4.2433,2.007369617864758,308.9888394813272,-2.113884661028819,0.03532615058861811,2.0074,codePO
-0.1036,0.05026218090803438,789.7217231966954,-2.060218376307326,0.03970477288173182,0.0503,warm.dev
-0.3133,0.05875117127984156,819.9555882523027,-5.331985272394618,1.2569929576632403e-7,0.0588,dev.pc1
-0.0774,0.01895989888011985,247.29559037917048,-4.080952728764786,6.056250240393611e-5,0.019,uniqObsDays
-0.1188,0.39692666730261894,807.0611364643898,-0.2992894941183197,0.764796224581918,0.3969,codeEO:dev.pc2
0.8195,0.15653856641304636,806.3651846475609,5.235268088432755,2.1031909612262858e-7,0.1565,codeLO:dev.pc2
-0.0916,0.17688492626005123,818.3322685238732,-0.5180528248764816,0.6045614405600259,0.1769,codePO:dev.pc2
-1.1271,0.3099903889219499,820.9029521444103,-3.6357585677368345,2.9443534191873146e-4,0.31,codeEO:year
0.036,0.16381012585065208,696.8065039976545,0.21948442897415463,0.8263369861706591,0.1638,codeLO:year
0.4435,0.17460583998594734,812.1375908505967,2.54017545086234,0.011264913138881174,0.1746,codePO:year
2.4661,6.492462456484815,812.77097372975,0.379833247023655,0.704168428341079,6.4925,codeEO:winter.p
8.1525,3.3941455566401673,820.4794158213,2.401921420550965,0.016530596585434904,3.3941,codeLO:winter.p
17.921,3.381006884383842,811.5661991199136,5.3004977829587085,1.4895185385707766e-7,3.381,codePO:winter.p
6.9949,6.369120137685321,811.9182961082325,1.0982526099451535,0.2724197746395179,6.3691,codeEO:spring.p
3.78,2.7446637451944116,778.8585165384118,1.377230926926716,0.16883652666494936,2.7447,codeLO:spring.p
-7.0724,3.2828379672982817,820.6437990910628,-2.154356797128674,0.03150264549838453,3.2828,codePO:spring.p
